filename, class_number
AcrimSAT_0.png, 0
AcrimSAT_1.png, 0
AcrimSAT_2.png, 0
AcrimSAT_3.png, 0
AcrimSAT_4.png, 0
AcrimSAT_5.png, 0
AcrimSAT_6.png, 0
AcrimSAT_7.png, 0
AcrimSAT_8.png, 0
AcrimSAT_9.png, 0
AcrimSAT_10.png, 0
AcrimSAT_11.png, 0
AcrimSAT_12.png, 0
AcrimSAT_13.png, 0
AcrimSAT_14.png, 0
AcrimSAT_15.png, 0
AcrimSAT_16.png, 0
AcrimSAT_17.png, 0
AcrimSAT_18.png, 0
AcrimSAT_19.png, 0
AcrimSAT_20.png, 0
AcrimSAT_21.png, 0
AcrimSAT_22.png, 0
AcrimSAT_23.png, 0
AcrimSAT_24.png, 0
AcrimSAT_25.png, 0
AcrimSAT_26.png, 0
AcrimSAT_27.png, 0
AcrimSAT_28.png, 0
AcrimSAT_29.png, 0
AcrimSAT_30.png, 0
AcrimSAT_31.png, 0
AcrimSAT_32.png, 0
AcrimSAT_33.png, 0
AcrimSAT_34.png, 0
AcrimSAT_35.png, 0
AcrimSAT_36.png, 0
AcrimSAT_37.png, 0
AcrimSAT_38.png, 0
AcrimSAT_39.png, 0
AcrimSAT_40.png, 0
AcrimSAT_41.png, 0
AcrimSAT_42.png, 0
AcrimSAT_43.png, 0
AcrimSAT_44.png, 0
AcrimSAT_45.png, 0
AcrimSAT_46.png, 0
AcrimSAT_47.png, 0
AcrimSAT_48.png, 0
AcrimSAT_49.png, 0
AcrimSAT_50.png, 0
AcrimSAT_51.png, 0
AcrimSAT_52.png, 0
AcrimSAT_53.png, 0
AcrimSAT_54.png, 0
AcrimSAT_55.png, 0
AcrimSAT_56.png, 0
AcrimSAT_57.png, 0
AcrimSAT_58.png, 0
AcrimSAT_59.png, 0
AcrimSAT_60.png, 0
AcrimSAT_61.png, 0
AcrimSAT_62.png, 0
AcrimSAT_63.png, 0
AcrimSAT_64.png, 0
AcrimSAT_65.png, 0
AcrimSAT_66.png, 0
AcrimSAT_67.png, 0
AcrimSAT_68.png, 0
AcrimSAT_69.png, 0
AcrimSAT_70.png, 0
AcrimSAT_71.png, 0
AcrimSAT_72.png, 0
AcrimSAT_73.png, 0
AcrimSAT_74.png, 0
AcrimSAT_75.png, 0
AcrimSAT_76.png, 0
AcrimSAT_77.png, 0
AcrimSAT_78.png, 0
AcrimSAT_79.png, 0
AcrimSAT_80.png, 0
AcrimSAT_81.png, 0
AcrimSAT_82.png, 0
AcrimSAT_83.png, 0
AcrimSAT_84.png, 0
AcrimSAT_85.png, 0
AcrimSAT_86.png, 0
AcrimSAT_87.png, 0
AcrimSAT_88.png, 0
AcrimSAT_89.png, 0
AcrimSAT_90.png, 0
AcrimSAT_91.png, 0
AcrimSAT_92.png, 0
AcrimSAT_93.png, 0
AcrimSAT_94.png, 0
AcrimSAT_95.png, 0
AcrimSAT_96.png, 0
AcrimSAT_97.png, 0
AcrimSAT_98.png, 0
AcrimSAT_99.png, 0
AcrimSAT_100.png, 0
AcrimSAT_101.png, 0
AcrimSAT_102.png, 0
AcrimSAT_103.png, 0
AcrimSAT_104.png, 0
AcrimSAT_105.png, 0
AcrimSAT_106.png, 0
AcrimSAT_107.png, 0
AcrimSAT_108.png, 0
AcrimSAT_109.png, 0
AcrimSAT_110.png, 0
AcrimSAT_111.png, 0
AcrimSAT_112.png, 0
AcrimSAT_113.png, 0
AcrimSAT_114.png, 0
AcrimSAT_115.png, 0
AcrimSAT_116.png, 0
AcrimSAT_117.png, 0
AcrimSAT_118.png, 0
AcrimSAT_119.png, 0
AcrimSAT_120.png, 0
AcrimSAT_121.png, 0
AcrimSAT_122.png, 0
AcrimSAT_123.png, 0
AcrimSAT_124.png, 0
AcrimSAT_125.png, 0
AcrimSAT_126.png, 0
AcrimSAT_127.png, 0
AcrimSAT_128.png, 0
AcrimSAT_129.png, 0
AcrimSAT_130.png, 0
AcrimSAT_131.png, 0
AcrimSAT_132.png, 0
AcrimSAT_133.png, 0
AcrimSAT_134.png, 0
AcrimSAT_135.png, 0
AcrimSAT_136.png, 0
AcrimSAT_137.png, 0
AcrimSAT_138.png, 0
AcrimSAT_139.png, 0
AcrimSAT_140.png, 0
AcrimSAT_141.png, 0
AcrimSAT_142.png, 0
AcrimSAT_143.png, 0
AcrimSAT_144.png, 0
AcrimSAT_145.png, 0
AcrimSAT_146.png, 0
AcrimSAT_147.png, 0
AcrimSAT_148.png, 0
AcrimSAT_149.png, 0
AcrimSAT_150.png, 0
AcrimSAT_151.png, 0
AcrimSAT_152.png, 0
AcrimSAT_153.png, 0
AcrimSAT_154.png, 0
AcrimSAT_155.png, 0
AcrimSAT_156.png, 0
AcrimSAT_157.png, 0
AcrimSAT_158.png, 0
AcrimSAT_159.png, 0
AcrimSAT_160.png, 0
AcrimSAT_161.png, 0
AcrimSAT_162.png, 0
